[2026-03-05T08:17:00.070Z] [play] command from guild=1407099712703692911 user=462755441760403456 query="https://music.youtube.com/watch?v=ETxmCCsMoD0&list=RDAMVMi5_asj1BGFs"
[2026-03-05T08:17:02.067Z] [play] resolveQuery type=single
[2026-03-05T08:17:02.067Z] [play] queue.join start
[2026-03-05T08:17:02.068Z] [Queue:1407099712703692911] join attempt 1/3
[2026-03-05T08:17:02.068Z] [Queue:1407099712703692911] join requested channel=1407099713206878314 name="WW"
[2026-03-05T08:17:03.550Z] [Queue:1407099712703692911] connection ready
[2026-03-05T08:17:03.550Z] [Queue:1407099712703692911] connection subscribed to player
[2026-03-05T08:17:03.551Z] [play] queue.join success
[2026-03-05T08:17:03.551Z] [play] addTrack single title="ABBA - Money, Money, Money (Official Music Video)" wasIdle=true
[2026-03-05T08:17:04.420Z] [Queue:1407099712703692911] player state -> buffering
[2026-03-05T08:17:03.551Z] [Queue:1407099712703692911] _playTrack start title="ABBA - Money, Money, Money (Official Music Video)" url="https://www.youtube.com/watch?v=ETxmCCsMoD0"
[2026-03-05T08:17:04.420Z] [Queue:1407099712703692911] player.play called
[2026-03-05T08:17:04.368Z] [Queue:1407099712703692911] stream created type=ogg/opus
[2026-03-05T08:17:07.667Z] [Queue:1407099712703692911] player state -> playing
[2026-03-05T16:44:34.445Z] stress-0
[2026-03-05T16:44:34.449Z] stress-148
[2026-03-05T16:44:34.449Z] stress-149
[2026-03-05T16:44:34.449Z] stress-150
[2026-03-05T16:44:34.449Z] stress-151
[2026-03-05T16:44:34.449Z] stress-152
[2026-03-05T16:44:34.449Z] stress-153
[2026-03-05T16:44:34.449Z] stress-154
[2026-03-05T16:44:34.449Z] stress-155
[2026-03-05T16:44:34.449Z] stress-156
[2026-03-05T16:44:34.449Z] stress-157
[2026-03-05T16:44:34.449Z] stress-158
[2026-03-05T16:44:34.449Z] stress-159
[2026-03-05T16:44:34.449Z] stress-160
[2026-03-05T16:44:34.449Z] stress-161
[2026-03-05T16:44:34.449Z] stress-162
[2026-03-05T16:44:34.449Z] stress-163
[2026-03-05T16:44:34.449Z] stress-164
[2026-03-05T16:44:34.449Z] stress-165
[2026-03-05T16:44:34.449Z] stress-166
[2026-03-05T16:44:34.449Z] stress-167
[2026-03-05T16:44:34.449Z] stress-168
[2026-03-05T16:44:34.449Z] stress-169
[2026-03-05T16:44:34.449Z] stress-170
[2026-03-05T16:44:34.449Z] stress-171
[2026-03-05T16:44:34.449Z] stress-172
[2026-03-05T16:44:34.449Z] stress-173
[2026-03-05T16:44:34.449Z] stress-174
[2026-03-05T16:44:34.449Z] stress-175
[2026-03-05T16:44:34.449Z] stress-176
[2026-03-05T16:44:34.449Z] stress-177
[2026-03-05T16:44:34.449Z] stress-178
[2026-03-05T16:44:34.449Z] stress-179
[2026-03-05T16:44:34.449Z] stress-180
[2026-03-05T16:44:34.449Z] stress-181
[2026-03-05T16:44:34.449Z] stress-182
[2026-03-05T16:44:34.449Z] stress-183
[2026-03-05T16:44:34.449Z] stress-184
[2026-03-05T16:44:34.449Z] stress-185
[2026-03-05T16:44:34.449Z] stress-186
[2026-03-05T16:44:34.449Z] stress-187
[2026-03-05T16:44:34.449Z] stress-188
[2026-03-05T16:44:34.449Z] stress-189
[2026-03-05T16:44:34.449Z] stress-190
[2026-03-05T16:44:34.449Z] stress-191
[2026-03-05T16:44:34.449Z] stress-192
[2026-03-05T16:44:34.449Z] stress-193
[2026-03-05T16:44:34.449Z] stress-194
[2026-03-05T16:44:34.449Z] stress-195
[2026-03-05T16:44:34.449Z] stress-196
[2026-03-05T16:44:34.449Z] stress-197
[2026-03-05T16:44:34.449Z] stress-198
[2026-03-05T16:44:34.449Z] stress-199
[2026-03-05T16:44:34.449Z] stress-200
[2026-03-05T16:44:34.449Z] stress-201
[2026-03-05T16:44:34.449Z] stress-202
[2026-03-05T16:44:34.449Z] stress-203
[2026-03-05T16:44:34.449Z] stress-204
[2026-03-05T16:44:34.449Z] stress-205
[2026-03-05T16:44:34.449Z] stress-206
[2026-03-05T16:44:34.449Z] stress-207
[2026-03-05T16:44:34.449Z] stress-208
[2026-03-05T16:44:34.449Z] stress-209
[2026-03-05T16:44:34.449Z] stress-210
[2026-03-05T16:44:34.449Z] stress-211
[2026-03-05T16:44:34.449Z] stress-212
[2026-03-05T16:44:34.449Z] stress-213
[2026-03-05T16:44:34.449Z] stress-214
[2026-03-05T16:44:34.449Z] stress-215
[2026-03-05T16:44:34.449Z] stress-216
[2026-03-05T16:44:34.449Z] stress-217
[2026-03-05T16:44:34.449Z] stress-218
[2026-03-05T16:44:34.449Z] stress-219
[2026-03-05T16:44:34.449Z] stress-220
[2026-03-05T16:44:34.449Z] stress-221
[2026-03-05T16:44:34.449Z] stress-222
[2026-03-05T16:44:34.449Z] stress-223
[2026-03-05T16:44:34.449Z] stress-224
[2026-03-05T16:44:34.449Z] stress-225
[2026-03-05T16:44:34.449Z] stress-226
[2026-03-05T16:44:34.449Z] stress-227
[2026-03-05T16:44:34.449Z] stress-228
[2026-03-05T16:44:34.449Z] stress-229
[2026-03-05T16:44:34.449Z] stress-230
[2026-03-05T16:44:34.449Z] stress-231
[2026-03-05T16:44:34.449Z] stress-232
[2026-03-05T16:44:34.449Z] stress-233
[2026-03-05T16:44:34.449Z] stress-234
[2026-03-05T16:44:34.449Z] stress-235
[2026-03-05T16:44:34.449Z] stress-236
[2026-03-05T16:44:34.449Z] stress-237
[2026-03-05T16:44:34.449Z] stress-238
[2026-03-05T16:44:34.449Z] stress-239
[2026-03-05T16:44:34.449Z] stress-240
[2026-03-05T16:44:34.449Z] stress-241
[2026-03-05T16:44:34.449Z] stress-242
[2026-03-05T16:44:34.449Z] stress-243
[2026-03-05T16:44:34.449Z] stress-244
[2026-03-05T16:44:34.449Z] stress-245
[2026-03-05T16:44:34.449Z] stress-246
[2026-03-05T16:44:34.449Z] stress-247
[2026-03-05T16:44:34.449Z] stress-248
[2026-03-05T16:44:34.449Z] stress-249
[2026-03-05T16:44:34.449Z] stress-250
[2026-03-05T16:44:34.449Z] stress-251
[2026-03-05T16:44:34.449Z] stress-252
[2026-03-05T16:44:34.449Z] stress-253
[2026-03-05T16:44:34.449Z] stress-254
[2026-03-05T16:44:34.449Z] stress-255
[2026-03-05T16:44:34.449Z] stress-256
[2026-03-05T16:44:34.449Z] stress-257
[2026-03-05T16:44:34.449Z] stress-258
[2026-03-05T16:44:34.449Z] stress-259
[2026-03-05T16:44:34.449Z] stress-260
[2026-03-05T16:44:34.449Z] stress-261
[2026-03-05T16:44:34.449Z] stress-262
[2026-03-05T16:44:34.449Z] stress-263
[2026-03-05T16:44:34.449Z] stress-264
[2026-03-05T16:44:34.449Z] stress-265
[2026-03-05T16:44:34.449Z] stress-266
[2026-03-05T16:44:34.449Z] stress-267
[2026-03-05T16:44:34.449Z] stress-268
[2026-03-05T16:44:34.449Z] stress-269
[2026-03-05T16:44:34.449Z] stress-270
[2026-03-05T16:44:34.449Z] stress-271
[2026-03-05T16:44:34.449Z] stress-272
[2026-03-05T16:44:34.449Z] stress-273
[2026-03-05T16:44:34.449Z] stress-274
[2026-03-05T16:44:34.449Z] stress-275
[2026-03-05T16:44:34.449Z] stress-276
[2026-03-05T16:44:34.449Z] stress-277
[2026-03-05T16:44:34.449Z] stress-278
[2026-03-05T16:44:34.449Z] stress-279
[2026-03-05T16:44:34.449Z] stress-280
[2026-03-05T16:44:34.449Z] stress-281
[2026-03-05T16:44:34.449Z] stress-282
[2026-03-05T16:44:34.449Z] stress-283
[2026-03-05T16:44:34.449Z] stress-284
[2026-03-05T16:44:34.449Z] stress-285
[2026-03-05T16:44:34.449Z] stress-286
[2026-03-05T16:44:34.449Z] stress-287
[2026-03-05T16:44:34.449Z] stress-288
[2026-03-05T16:44:34.449Z] stress-289
[2026-03-05T16:44:34.449Z] stress-290
[2026-03-05T16:44:34.449Z] stress-291
[2026-03-05T16:44:34.449Z] stress-292
[2026-03-05T16:44:34.449Z] stress-293
[2026-03-05T16:44:34.449Z] stress-294
[2026-03-05T16:44:34.449Z] stress-295
[2026-03-05T16:44:34.449Z] stress-296
[2026-03-05T16:44:34.449Z] stress-297
[2026-03-05T16:44:34.449Z] stress-298
[2026-03-05T16:44:34.449Z] stress-299
[2026-03-05T16:44:34.449Z] stress-300
[2026-03-05T16:44:34.449Z] stress-301
[2026-03-05T16:44:34.449Z] stress-302
[2026-03-05T16:44:34.449Z] stress-303
[2026-03-05T16:44:34.449Z] stress-304
[2026-03-05T16:44:34.449Z] stress-305
[2026-03-05T16:44:34.449Z] stress-306
[2026-03-05T16:44:34.449Z] stress-307
[2026-03-05T16:44:34.449Z] stress-308
[2026-03-05T16:44:34.449Z] stress-309
[2026-03-05T16:44:34.449Z] stress-310
[2026-03-05T16:44:34.449Z] stress-311
[2026-03-05T16:44:34.449Z] stress-312
[2026-03-05T16:44:34.449Z] stress-313
[2026-03-05T16:44:34.449Z] stress-314
[2026-03-05T16:44:34.449Z] stress-315
[2026-03-05T16:44:34.449Z] stress-316
[2026-03-05T16:44:34.449Z] stress-317
[2026-03-05T16:44:34.449Z] stress-318
[2026-03-05T16:44:34.449Z] stress-319
[2026-03-05T16:44:34.449Z] stress-320
[2026-03-05T16:44:34.449Z] stress-321
[2026-03-05T16:44:34.449Z] stress-322
[2026-03-05T16:44:34.449Z] stress-323
[2026-03-05T16:44:34.449Z] stress-324
[2026-03-05T16:44:34.449Z] stress-325
[2026-03-05T16:44:34.449Z] stress-326
[2026-03-05T16:44:34.449Z] stress-327
[2026-03-05T16:44:34.449Z] stress-328
[2026-03-05T16:44:34.449Z] stress-329
[2026-03-05T16:44:34.449Z] stress-330
[2026-03-05T16:44:34.449Z] stress-331
[2026-03-05T16:44:34.449Z] stress-332
[2026-03-05T16:44:34.449Z] stress-333
[2026-03-05T16:44:34.449Z] stress-334
[2026-03-05T16:44:34.449Z] stress-335
[2026-03-05T16:44:34.449Z] stress-336
[2026-03-05T16:44:34.449Z] stress-337
[2026-03-05T16:44:34.449Z] stress-338
[2026-03-05T16:44:34.449Z] stress-339
[2026-03-05T16:44:34.449Z] stress-340
[2026-03-05T16:44:34.449Z] stress-341
[2026-03-05T16:44:34.449Z] stress-342
[2026-03-05T16:44:34.449Z] stress-343
[2026-03-05T16:44:34.449Z] stress-344
[2026-03-05T16:44:34.449Z] stress-345
[2026-03-05T16:44:34.449Z] stress-346
[2026-03-05T16:44:34.449Z] stress-347
[2026-03-05T16:44:34.449Z] stress-348
[2026-03-05T16:44:34.449Z] stress-349
[2026-03-05T16:44:34.449Z] stress-350
[2026-03-05T16:44:34.449Z] stress-351
[2026-03-05T16:44:34.449Z] stress-352
[2026-03-05T16:44:34.449Z] stress-353
[2026-03-05T16:44:34.449Z] stress-354
[2026-03-05T16:44:34.449Z] stress-355
[2026-03-05T16:44:34.449Z] stress-356
[2026-03-05T16:44:34.449Z] stress-357
[2026-03-05T16:44:34.449Z] stress-358
[2026-03-05T16:44:34.449Z] stress-359
[2026-03-05T16:44:34.449Z] stress-360
[2026-03-05T16:44:34.449Z] stress-361
[2026-03-05T16:44:34.449Z] stress-362
[2026-03-05T16:44:34.449Z] stress-363
[2026-03-05T16:44:34.449Z] stress-364
[2026-03-05T16:44:34.449Z] stress-365
[2026-03-05T16:44:34.449Z] stress-366
[2026-03-05T16:44:34.449Z] stress-367
[2026-03-05T16:44:34.449Z] stress-368
[2026-03-05T16:44:34.449Z] stress-369
[2026-03-05T16:44:34.449Z] stress-370
[2026-03-05T16:44:34.449Z] stress-371
[2026-03-05T16:44:34.449Z] stress-372
[2026-03-05T16:44:34.449Z] stress-373
[2026-03-05T16:44:34.449Z] stress-374
[2026-03-05T16:44:34.449Z] stress-375
[2026-03-05T16:44:34.449Z] stress-376
[2026-03-05T16:44:34.449Z] stress-377
[2026-03-05T16:44:34.449Z] stress-378
[2026-03-05T16:44:34.449Z] stress-379
[2026-03-05T16:44:34.449Z] stress-380
[2026-03-05T16:44:34.449Z] stress-381
[2026-03-05T16:44:34.449Z] stress-382
[2026-03-05T16:44:34.449Z] stress-383
[2026-03-05T16:44:34.449Z] stress-384
[2026-03-05T16:44:34.449Z] stress-385
[2026-03-05T16:44:34.449Z] stress-386
[2026-03-05T16:44:34.449Z] stress-387
[2026-03-05T16:44:34.449Z] stress-388
[2026-03-05T16:44:34.449Z] stress-389
[2026-03-05T16:44:34.449Z] stress-390
[2026-03-05T16:44:34.449Z] stress-391
[2026-03-05T16:44:34.449Z] stress-392
[2026-03-05T16:44:34.449Z] stress-393
[2026-03-05T16:44:34.449Z] stress-394
[2026-03-05T16:44:34.449Z] stress-395
[2026-03-05T16:44:34.449Z] stress-396
[2026-03-05T16:44:34.449Z] stress-397
[2026-03-05T16:44:34.449Z] stress-398
[2026-03-05T16:44:34.449Z] stress-399
[2026-03-05T16:44:34.449Z] stress-400
[2026-03-05T16:44:34.449Z] stress-401
[2026-03-05T16:44:34.449Z] stress-402
[2026-03-05T16:44:34.449Z] stress-403
[2026-03-05T16:44:34.449Z] stress-404
[2026-03-05T16:44:34.449Z] stress-405
[2026-03-05T16:44:34.449Z] stress-406
[2026-03-05T16:44:34.449Z] stress-407
[2026-03-05T16:44:34.449Z] stress-408
[2026-03-05T16:44:34.449Z] stress-409
[2026-03-05T16:44:34.449Z] stress-410
[2026-03-05T16:44:34.449Z] stress-411
[2026-03-05T16:44:34.449Z] stress-412
[2026-03-05T16:44:34.449Z] stress-413
[2026-03-05T16:44:34.450Z] stress-414
[2026-03-05T16:44:34.450Z] stress-415
[2026-03-05T16:44:34.450Z] stress-416
[2026-03-05T16:44:34.450Z] stress-417
[2026-03-05T16:44:34.450Z] stress-418
[2026-03-05T16:44:34.450Z] stress-419
[2026-03-05T16:44:34.450Z] stress-420
[2026-03-05T16:44:34.450Z] stress-421
[2026-03-05T16:44:34.450Z] stress-422
[2026-03-05T16:44:34.450Z] stress-423
[2026-03-05T16:44:34.450Z] stress-424
[2026-03-05T16:44:34.450Z] stress-425
[2026-03-05T16:44:34.450Z] stress-426
[2026-03-05T16:44:34.450Z] stress-427
[2026-03-05T16:44:34.450Z] stress-428
[2026-03-05T16:44:34.450Z] stress-429
[2026-03-05T16:44:34.450Z] stress-430
[2026-03-05T16:44:34.450Z] stress-431
[2026-03-05T16:44:34.450Z] stress-432
[2026-03-05T16:44:34.450Z] stress-433
[2026-03-05T16:44:34.450Z] stress-434
[2026-03-05T16:44:34.526Z] [debugLog] dropped 42829 lines due to backpressure
[2026-03-05T16:44:34.450Z] stress-435
[2026-03-05T16:44:34.450Z] stress-436
[2026-03-05T16:44:34.450Z] stress-437
[2026-03-05T16:44:34.450Z] stress-438
[2026-03-05T16:44:34.450Z] stress-439
[2026-03-05T16:44:34.450Z] stress-440
[2026-03-05T16:44:34.450Z] stress-441
[2026-03-05T16:44:34.450Z] stress-442
[2026-03-05T16:44:34.450Z] stress-443
[2026-03-05T16:44:34.450Z] stress-444
[2026-03-05T16:44:34.450Z] stress-445
[2026-03-05T16:44:34.450Z] stress-446
[2026-03-05T16:44:34.450Z] stress-447
[2026-03-05T16:44:34.450Z] stress-448
[2026-03-05T16:44:34.450Z] stress-449
[2026-03-05T16:44:34.450Z] stress-450
[2026-03-05T16:44:34.450Z] stress-451
[2026-03-05T16:44:34.450Z] stress-452
[2026-03-05T16:44:34.450Z] stress-453
[2026-03-05T16:44:34.450Z] stress-454
[2026-03-05T16:44:34.450Z] stress-455
[2026-03-05T16:44:34.450Z] stress-456
[2026-03-05T16:44:34.450Z] stress-457
[2026-03-05T16:44:34.450Z] stress-458
[2026-03-05T16:44:34.450Z] stress-459
[2026-03-05T16:44:34.450Z] stress-460
[2026-03-05T16:44:34.450Z] stress-461
[2026-03-05T16:44:34.450Z] stress-462
[2026-03-05T16:44:34.450Z] stress-463
[2026-03-05T16:44:34.450Z] stress-464
[2026-03-05T16:44:34.450Z] stress-465
[2026-03-05T16:44:34.450Z] stress-466
[2026-03-05T16:44:34.450Z] stress-467
[2026-03-05T16:44:34.450Z] stress-468
[2026-03-05T16:44:34.450Z] stress-469
[2026-03-05T16:44:34.450Z] stress-470
[2026-03-05T16:44:34.450Z] stress-471
[2026-03-05T16:44:34.450Z] stress-472
[2026-03-05T16:44:34.450Z] stress-473
[2026-03-05T16:44:34.450Z] stress-474
[2026-03-05T16:44:34.450Z] stress-475
[2026-03-05T16:44:34.450Z] stress-476
[2026-03-05T16:44:34.450Z] stress-477
[2026-03-05T16:44:34.450Z] stress-478
[2026-03-05T16:44:34.450Z] stress-479
[2026-03-05T16:44:34.450Z] stress-480
[2026-03-05T16:44:34.450Z] stress-481
[2026-03-05T16:44:34.450Z] stress-482
[2026-03-05T16:44:34.450Z] stress-483
[2026-03-05T16:44:34.450Z] stress-484
[2026-03-05T16:44:34.450Z] stress-485
[2026-03-05T16:44:34.450Z] stress-486
[2026-03-05T16:44:34.450Z] stress-487
[2026-03-05T16:44:34.450Z] stress-488
[2026-03-05T16:44:34.450Z] stress-489
[2026-03-05T16:44:34.450Z] stress-490
[2026-03-05T16:44:34.450Z] stress-491
[2026-03-05T16:44:34.450Z] stress-492
[2026-03-05T16:44:34.450Z] stress-493
[2026-03-05T16:44:34.450Z] stress-494
[2026-03-05T16:44:34.450Z] stress-495
[2026-03-05T16:44:34.450Z] stress-496
[2026-03-05T16:44:34.450Z] stress-497
[2026-03-05T16:44:34.450Z] stress-498
[2026-03-05T16:44:34.450Z] stress-499
[2026-03-05T16:44:34.450Z] stress-500
[2026-03-05T16:44:34.450Z] stress-501
[2026-03-05T16:44:34.450Z] stress-502
[2026-03-05T16:44:34.450Z] stress-503
[2026-03-05T16:44:34.450Z] stress-504
[2026-03-05T16:44:34.450Z] stress-505
[2026-03-05T16:44:34.450Z] stress-506
[2026-03-05T16:44:34.450Z] stress-507
[2026-03-05T16:44:34.450Z] stress-508
[2026-03-05T16:44:34.450Z] stress-509
[2026-03-05T16:44:34.450Z] stress-510
[2026-03-05T16:44:34.450Z] stress-511
[2026-03-05T16:44:34.450Z] stress-512
[2026-03-05T16:44:34.450Z] stress-513
[2026-03-05T16:44:34.450Z] stress-514
[2026-03-05T16:44:34.450Z] stress-515
[2026-03-05T16:44:34.450Z] stress-516
[2026-03-05T16:44:34.450Z] stress-517
[2026-03-05T16:44:34.450Z] stress-518
[2026-03-05T16:44:34.450Z] stress-519
[2026-03-05T16:44:34.450Z] stress-520
[2026-03-05T16:44:34.450Z] stress-521
[2026-03-05T16:44:34.450Z] stress-522
[2026-03-05T16:44:34.450Z] stress-523
[2026-03-05T16:44:34.450Z] stress-524
[2026-03-05T16:44:34.450Z] stress-525
[2026-03-05T16:44:34.450Z] stress-526
[2026-03-05T16:44:34.450Z] stress-527
[2026-03-05T16:44:34.450Z] stress-528
[2026-03-05T16:44:34.450Z] stress-529
[2026-03-05T16:44:34.450Z] stress-530
[2026-03-05T16:44:34.450Z] stress-531
[2026-03-05T16:44:34.450Z] stress-532
[2026-03-05T16:44:34.450Z] stress-533
[2026-03-05T16:44:34.450Z] stress-534
[2026-03-05T16:44:34.450Z] stress-535
[2026-03-05T16:44:34.450Z] stress-536
[2026-03-05T16:44:34.450Z] stress-537
[2026-03-05T16:44:34.450Z] stress-538
[2026-03-05T16:44:34.450Z] stress-539
[2026-03-05T16:44:34.450Z] stress-540
[2026-03-05T16:44:34.450Z] stress-541
[2026-03-05T16:44:34.450Z] stress-542
[2026-03-05T16:44:34.450Z] stress-543
[2026-03-05T16:44:34.450Z] stress-544
[2026-03-05T16:44:34.450Z] stress-545
[2026-03-05T16:44:34.450Z] stress-546
[2026-03-05T16:44:34.450Z] stress-547
[2026-03-05T16:44:34.450Z] stress-548
